m,d,yday,srh,srm,srise,ssh,ssm,sset,snh,snm,solnoon,daylen,y
1,3,3,7,57,7.95,4,30,16.5,12,13,12.2166666666667,8.55,2024
1,21,21,7,48,7.8,4,53,16.8833333333333,12,20,12.3333333333333,9.08333333333333,2024
2,6,37,7,29,7.48333333333333,5,17,17.2833333333333,12,23,12.3833333333333,9.8,2024
2,18,49,7,10,7.16666666666667,5,36,17.6,12,23,12.3833333333333,10.4333333333333,2024
3,1,61,6,48,6.8,5,55,17.9166666666667,12,21,12.35,11.1166666666667,2024
3,29,89,6,52,6.86666666666667,7,35,19.5833333333333,1,13,13.2166666666667,12.7166666666667,2024
4,11,102,6,26,6.43333333333333,7,54,19.9,1,10,13.1666666666667,13.4666666666667,2024
4,20,111,6,10,6.16666666666667,8,7,20.1166666666667,1,8,13.1333333333333,13.95,2024
5,8,129,5,40,5.66666666666667,8,32,20.5333333333333,1,5,13.0833333333333,14.8666666666667,2024
5,15,136,5,31,5.51666666666667,8,41,20.6833333333333,1,5,13.0833333333333,15.1666666666667,2024
6,2,154,5,14,5.23333333333333,9,0,21,1,7,13.1166666666667,15.7666666666667,2024
6,22,174,5,12,5.2,9,11,21.1833333333333,1,11,13.1833333333333,15.9833333333333,2024
7,10,192,5,23,5.38333333333333,9,6,21.1,1,14,13.2333333333333,15.7166666666667,2024
7,14,196,5,26,5.43333333333333,9,3,21.05,1,15,13.25,15.6166666666667,2024
8,5,218,5,52,5.86666666666667,8,36,20.6,1,15,13.25,14.7333333333333,2024
8,12,225,6,2,6.03333333333333,8,25,20.4166666666667,1,14,13.2333333333333,14.3833333333333,2024
9,16,260,6,48,6.8,7,18,19.3,1,3,13.05,12.5,2024
9,28,272,7,5,7.08333333333333,6,53,18.8833333333333,1,59,13.9833333333333,11.8,2024
10,4,278,7,13,7.21666666666667,6,41,18.6833333333333,12,57,12.95,11.4666666666667,2024
10,24,298,7,42,7.7,6,3,18.05,12,53,12.8833333333333,10.35,2024
11,9,314,7,6,7.1,4,39,16.65,11,53,11.8833333333333,9.55,2024
11,17,322,7,18,7.3,4,29,16.4833333333333,11,54,11.9,9.18333333333333,2024
12,24,359,7,56,7.93333333333333,4,22,16.3666666666667,12,9,12.15,8.43333333333333,2024
12,31,366,7,58,7.96666666666667,4,28,16.4666666666667,12,12,12.2,8.5,2024
